Depth (m)	count	age (b1950)	MCE
139.614	1.0	1583.0	36.0
139.657	1.0	1584.0	36.0
139.708	1.0	1585.0	36.0
139.791	1.0	1586.0	36.0
139.845	1.0	1587.0	36.0
139.923	1.0	1588.0	36.0
139.978	1.0	1589.0	36.0
140.062	1.0	1590.0	36.0
140.124	1.0	1591.0	36.0
140.207	1.0	1592.0	36.0
140.267	1.0	1593.0	36.0
140.336	1.0	1594.0	36.0
140.391	1.0	1595.0	36.0
140.44	1.0	1596.0	36.0
140.5	1.0	1597.0	36.0
140.579	1.0	1598.0	36.0
140.631	1.0	1599.0	36.0
140.72	1.0	1600.0	36.0
140.798	1.0	1601.0	36.5
140.851	1.0	1602.0	36.5
140.891	1.0	1603.0	36.5
140.955	1.0	1604.0	36.5
141.011	1.0	1605.0	36.5
141.081	1.0	1606.0	36.5
141.143	1.0	1607.0	36.5
141.187	1.0	1608.0	37.0
141.275	1.0	1609.0	37.0
141.355	1.0	1610.0	37.0
141.405	1.0	1611.0	37.0
141.449	1.0	1612.0	37.0
141.5	1.0	1613.0	37.0
141.562	1.0	1614.0	37.0
141.611	1.0	1615.0	37.0
141.671	1.0	1616.0	37.0
141.77	1.0	1617.0	37.0
141.832	1.0	1618.0	37.0
141.914	1.0	1619.0	37.0
142.006	1.0	1620.0	37.0
142.083	1.0	1621.0	37.0
142.144	1.0	1622.0	37.0
142.225	1.0	1623.0	37.0
142.293	1.0	1624.0	37.0
142.383	1.0	1625.0	37.5
142.471	1.0	1626.0	37.5
142.562	1.0	1627.0	37.5
142.605	1.0	1628.0	37.5
142.697	1.0	1629.0	37.5
142.773	1.0	1630.0	38.0
142.833	1.0	1631.0	38.0
142.922	1.0	1632.0	38.0
142.957	1.0	1633.0	38.0
142.988	1.0	1634.0	38.0
143.053	1.0	1635.0	38.0
143.122	1.0	1636.0	38.0
143.197	1.0	1637.0	38.0
143.278	1.0	1638.0	38.0
143.353	1.0	1639.0	38.0
143.398	1.0	1640.0	38.0
143.451	1.0	1641.0	38.0
143.513	1.0	1642.0	38.0
143.614	1.0	1643.0	38.0
143.664	1.0	1644.0	38.0
143.759	1.0	1645.0	38.0
143.822	1.0	1646.0	38.0
143.904	1.0	1647.0	38.0
143.957	1.0	1648.0	38.0
144.034	1.0	1649.0	38.0
144.093	1.0	1650.0	38.0
144.16	1.0	1651.0	38.0
144.263	1.0	1652.0	38.0
144.341	1.0	1653.0	38.0
144.423	1.0	1654.0	38.0
144.488	1.0	1655.0	38.0
144.557	1.0	1656.0	38.0
144.609	1.0	1657.0	38.0
144.693	1.0	1658.0	38.0
144.735	1.0	1659.0	38.0
144.833	1.0	1660.0	38.0
144.903	1.0	1661.0	38.0
145.004	1.0	1662.0	38.0
145.08	1.0	1663.0	38.0
145.125	1.0	1664.0	38.0
145.191	1.0	1665.0	38.0
145.23	1.0	1666.0	38.0
145.29	1.0	1667.0	38.0
145.368	1.0	1668.0	38.0
145.443	1.0	1669.0	38.0
145.569	1.0	1670.0	38.0
145.614	1.0	1671.0	38.0
145.683	1.0	1672.0	38.0
145.737	1.0	1673.0	38.5
145.791	1.0	1674.0	38.5
145.837	1.0	1675.0	38.5
145.907	1.0	1676.0	39.0
145.962	1.0	1677.0	39.0
146.025	1.0	1678.0	39.0
146.075	1.0	1679.0	39.0
146.129	1.0	1680.0	39.0
146.182	1.0	1681.0	39.0
146.279	1.0	1682.0	39.0
146.347	1.0	1683.0	39.0
146.412	1.0	1684.0	39.0
146.513	1.0	1685.0	39.0
146.59	1.0	1686.0	39.0
146.686	1.0	1687.0	39.0
146.745	1.0	1688.0	39.0
146.796	1.0	1689.0	39.0
146.863	1.0	1690.0	39.0
146.937	1.0	1691.0	39.0
147.047	1.0	1692.0	39.0
147.097	1.0	1693.0	39.0
147.142	1.0	1694.0	39.0
147.24	1.0	1695.0	39.0
147.295	1.0	1696.0	39.0
147.35	1.0	1697.0	39.0
147.408	1.0	1698.0	39.0
147.511	1.0	1699.0	39.0
147.566	1.0	1700.0	39.0
147.625	1.0	1701.0	39.0
147.738	1.0	1702.0	39.0
147.829	1.0	1703.0	39.0
147.898	1.0	1704.0	39.0
147.945	1.0	1705.0	39.0
148.005	1.0	1706.0	39.0
148.055	1.0	1707.0	39.0
148.137	1.0	1708.0	39.0
148.209	1.0	1709.0	39.0
148.269	1.0	1710.0	39.0
148.333	1.0	1711.0	39.0
148.407	1.0	1712.0	39.0
148.507	1.0	1713.0	39.0
148.567	1.0	1714.0	39.0
148.623	1.0	1715.0	39.0
148.709	1.0	1716.0	39.0
148.785	1.0	1717.0	39.5
148.843	1.0	1718.0	39.5
148.916	1.0	1719.0	39.5
