Depth_m,nssS
27.189,-0.348
27.204,-0.383
27.22,-0.339
27.235,-0.293
27.25,-0.115
27.266,-0.017
27.281,0.115
27.297,0.377
27.312,0.52
27.327,0.582
27.343,0.637
27.358,0.64
27.374,0.686
27.389,0.652
27.404,0.628
27.42,0.596
27.435,0.542
27.451,0.456
27.466,0.465
27.481,0.356
27.497,0.308
27.512,0.415
27.527,0.392
27.543,0.028
27.558,-0.376
27.573,-0.309
27.589,-0.233
27.604,-0.116
27.62,0.048
27.635,0.325
27.65,0.463
27.666,0.519
27.681,0.561
27.696,0.579
27.712,0.864
27.727,0.995
27.742,1.081
27.758,1.175
27.773,1.217
27.789,1.162
27.804,1.127
27.819,0.979
27.835,0.701
27.85,0.602
27.865,0.505
27.881,0.502
27.896,0.414
27.911,0.413
27.927,0.59
27.942,0.866
27.957,1.117
27.973,1.202
27.988,1.321
28.003,1.377
28.019,1.306
28.034,1.198
28.049,1.063
28.065,0.919
28.08,0.769
28.095,0.668
28.111,0.597
28.126,0.894
28.141,0.762
28.157,0.457
28.172,0.295
28.187,0.069
28.202,-0.406
28.218,-0.404
28.233,-0.27
28.248,-0.33
28.264,-0.385
28.279,-0.366
28.294,-0.383
28.31,-0.389
28.325,-0.417
28.34,-0.407
28.355,-0.351
28.371,-0.355
28.386,-0.479
28.401,-0.557
28.417,-0.507
28.432,-0.379
28.447,-0.277
28.462,-0.387
28.478,-0.345
28.493,-0.257
28.508,-0.019
28.524,0.283
28.539,0.474
28.554,0.238
28.569,0.308
28.6,0.395
28.615,0.605
28.631,0.241
28.646,0.073
28.661,0.019
28.676,-0.477
28.692,-0.561
28.707,-0.497
28.722,-0.54
28.737,-0.501
28.753,-0.326
28.768,-0.242
28.783,-0.241
28.798,-0.277
28.814,-0.026
28.829,0.255
28.844,0.483
28.859,0.582
28.875,0.486
28.89,0.28
28.905,0.207
28.92,0.1
28.936,0.038
28.951,-0.166
28.966,-0.383
28.981,-0.443
28.997,-0.305
29.012,-0.111
29.027,-0.031
29.042,0.099
29.057,0.187
29.073,0.212
29.088,0.307
29.103,0.327
29.118,0.344
29.134,0.286
29.149,0.318
29.164,0.558
29.179,0.415
29.194,0.471
29.21,0.34
29.225,0.266
29.24,0.052
29.255,-0.457
29.27,-0.428
29.286,-0.434
29.301,-0.202
29.316,-0.124
29.331,-0.468
29.346,-0.629
29.362,-0.58
29.377,-0.617
29.392,-0.749
29.407,-0.639
29.422,-0.231
29.438,0.085
29.453,0.222
29.468,0.257
29.483,0.281
29.498,0.29
29.514,0.187
29.529,0.052
29.544,-0.069
29.559,-0.184
29.574,-0.238
29.589,-0.298
29.605,-0.317
29.62,-0.248
29.635,-0.163
29.65,0.046
29.665,0.636
29.681,1.057
29.696,0.625
29.711,0.086
29.726,-0.104
29.741,0.367
29.756,0.564
29.771,0.001
29.787,-0.142
29.802,-0.064
29.817,-0.151
29.832,-0.291
29.847,-0.316
29.862,-0.35
29.878,-0.39
29.893,-0.344
29.908,-0.286
29.923,-0.187
29.938,-0.054
29.953,0.009
29.968,-0.065
29.984,-0.059
29.999,-0.171
30.014,-0.247
30.029,-0.331
30.044,-0.469
30.059,-0.704
30.074,-0.998
30.089,-1.077
30.105,-0.695
30.12,-0.483
30.135,-0.361
30.15,-0.241
30.165,-0.145
30.18,-0.042
30.195,0.239
30.211,0.411
30.226,0.399
30.241,-0.151
30.256,-0.307
30.271,-0.583
30.286,-0.472
30.301,-0.571
30.316,-0.731
30.331,-0.881
30.346,-1.002
30.361,-1.132
30.377,-1.216
30.392,-1.184
30.407,-1.093
30.422,-0.923
30.437,-0.833
30.452,-0.886
30.482,-1.012
30.497,-1.059
30.512,-1.134
30.527,-1.094
30.543,-1.022
