Depth,S
1315.875,8.643
1315.885,8.961
1315.895,9.641
1315.905,9.3
1315.915,10.412
1315.925,12.228
1315.935,12.407
1315.945,12.638
1315.955,14.798
1315.965,17.023
1315.975,17.147
1315.985,17.117
1315.995,17.615
1316.005,17.582
1316.015,13.812
1316.025,10.887
1316.035,10.405
1316.045,10.009
1316.055,9.683
1316.065,10.774
1316.075,12.338
1316.085,14.076
1316.095,17.517
1316.105,19.575
1316.115,18.126
1316.125,16.315
1316.135,16.462
1316.145,16.973
1316.155,15.964
1316.165,14.489
1316.175,14.931
1316.185,14.178
1316.195,12.021
1316.205,12.288
1316.215,15.244
1316.225,16.831
1316.235,17.708
1316.245,20.493
1316.255,21.366
1316.265,20.726
1316.275,21.107
1316.285,21.306
1316.295,18.512
1316.305,15.143
1316.315,14.043
1316.325,13.03
1316.335,10.991
1316.345,11.535
1316.355,13.623
1316.365,13.829
1316.375,13.774
1316.385,15.879
1316.395,17.061
1316.405,15.709
1316.415,13.806
1316.425,13.116
1316.435,13.327
1316.445,13.817
1316.455,14.656
1316.465,15.172
1316.475,15.277
1316.485,15.16
1316.495,16.919
1316.505,17.92
1316.515,17.119
1316.525,16.768
1316.535,17.385
1316.545,15.397
1316.555,12.725
1316.565,11.989
1316.575,12.143
1316.585,11.512
1316.595,11.463
1316.605,12.825
1316.615,14.056
1316.635,15.592
1316.645,17.358
1316.655,18.811
1316.665,18.487
1316.675,16.899
1316.685,15.985
1316.695,15.896
1316.705,15.04
1316.715,14.262
1316.725,14.62
1316.735,14.231
1316.745,13.366
1316.755,13.648
1316.765,15.12
1316.775,17.073
1316.785,19.208
1316.795,20.95
1316.805,20.409
1316.815,18.515
1316.825,16.832
1316.835,16.029
1316.845,14.542
1316.855,12.844
1316.865,13.325
1316.875,14.758
1316.885,15.292
1316.895,14.892
1316.905,16.597
1316.915,19.549
1316.925,20.755
1316.935,20.46
1316.945,20.532
1316.955,20.688
1316.965,18.913
1316.975,16.981
1316.985,16.46
1316.995,15.776
1317.005,15.02
1317.015,14.568
1317.025,16.499
1317.035,18.405
1317.045,18.205
1317.055,20.293
1317.065,23.604
1317.075,25.332
1317.085,24.976
1317.095,23.255
1317.105,20.899
1317.115,17.597
1317.125,13.927
1317.135,12.511
1317.145,12.649
1317.155,12.705
1317.165,13.398
1317.175,15.715
1317.185,18.422
1317.195,19.575
1317.205,21.275
1317.215,24.21
1317.225,25.072
1317.235,21.293
1317.245,18.22
1317.255,17.682
1317.265,14.924
1317.275,11.744
1317.285,11.193
1317.295,14.279
1317.305,15.677
1317.315,15.555
1317.325,16.617
1317.335,18.186
1317.345,17.792
1317.355,16.834
1317.365,16.047
1317.375,14.478
1317.385,13.187
1317.395,12.431
1317.405,12.107
1317.415,11.745
1317.425,11.84
1317.435,12.287
1317.445,14.035
1317.455,15.431
1317.465,15.76
1317.475,16.299
1317.485,17.445
1317.495,18.331
1317.505,18.304
1317.515,19.665
1317.525,20.288
1317.535,18.678
1317.545,15.248
1317.555,13.276
1317.565,12.705
1317.575,11.987
1317.585,11.694
1317.595,14.139
1317.605,16.562
1317.615,17.711
1317.625,17.649
1317.635,17.495
1317.645,17.08
1317.655,15.17
1317.665,13.606
1317.675,13.322
1317.685,12.406
1317.695,10.857
1317.705,11.439
1317.715,13.399
1317.725,14.519
1317.735,13.755
1317.745,13.945
1317.755,15.941
1317.765,17.299
1317.775,17.918
1317.785,18.894
1317.795,20.868
1317.805,22.843
1317.815,24.293
1317.825,26.673
1317.835,28.276
1317.845,28.723
1317.855,29.122
1317.865,30.835
1317.875,33.953
1317.895,36.536
1317.905,40.772
1317.915,43.454
1317.925,42.365
1317.935,39.622
1317.945,36.462
1317.955,31.104
1317.965,25.623
