Depth_m,nssS_Na_ratio
20.811,-0.556
20.827,-0.507
20.843,-0.493
20.859,-0.472
20.875,-0.457
20.892,-0.428
20.908,-0.414
20.924,-0.394
20.94,-0.385
20.956,-0.41
20.972,-0.48
20.988,-0.56
21.004,-0.634
21.02,-0.692
21.036,-0.669
21.053,-0.717
21.069,-0.743
21.085,-0.734
21.101,-0.725
21.117,-0.68
21.133,-0.619
21.149,-0.516
21.165,-0.369
21.181,-0.142
21.197,0.159
21.213,0.389
21.229,0.343
21.246,0.216
21.262,0.169
21.278,0.059
21.294,-0.115
21.31,-0.242
21.326,-0.377
21.342,-0.467
21.358,-0.544
21.374,-0.555
21.39,-0.553
21.406,-0.536
21.422,-0.504
21.438,-0.466
21.454,-0.424
21.47,-0.283
21.486,-0.139
21.502,0.02
21.518,0.073
21.534,0.179
21.55,0.135
21.567,0.206
21.583,0.16
21.599,0.088
21.615,-0.032
21.631,-0.139
21.647,-0.197
21.663,-0.291
21.679,-0.36
21.695,-0.408
21.711,-0.362
21.727,-0.303
21.743,-0.149
21.759,-0.003
21.775,0.095
21.791,0.289
21.807,0.624
21.823,1.001
21.839,1.322
21.855,1.248
21.871,0.897
21.887,0.498
21.903,0.069
21.919,-0.259
21.935,-0.43
21.951,-0.536
21.967,-0.582
21.982,-0.59
21.998,-0.598
22.014,-0.55
22.03,-0.517
22.046,-0.461
22.062,-0.406
22.078,-0.32
22.094,-0.186
22.11,-0.011
22.126,0.34
22.142,0.792
22.158,1.236
22.19,1.78
22.206,2.381
22.222,2.811
22.238,3.006
22.254,1.318
22.397,-0.236
22.413,-0.064
22.429,0.146
22.445,0.339
22.461,0.415
22.477,0.425
22.493,0.294
22.509,0.118
22.525,-0.051
22.54,-0.22
22.556,-0.315
22.572,-0.387
22.588,-0.486
22.604,-0.577
22.62,-0.639
22.636,-0.678
22.652,-0.693
22.668,-0.683
22.684,-0.686
22.699,-0.657
22.715,-0.549
22.731,-0.41
22.747,-0.285
22.763,-0.118
22.779,0.131
22.795,0.33
22.811,0.474
22.827,0.629
22.842,0.658
22.858,0.735
22.874,0.63
22.89,0.568
22.906,0.454
22.922,0.345
22.938,0.21
22.953,0.061
22.969,0.014
22.985,-0.055
23.001,-0.053
23.017,0.003
23.033,0.011
23.049,0.11
23.064,0.289
23.08,0.444
23.096,0.647
23.112,0.834
23.128,0.993
23.144,1.204
23.16,1.257
23.175,1.196
23.191,1.175
23.207,0.976
23.223,0.792
23.239,0.623
23.254,0.502
23.27,0.424
23.286,0.379
23.302,0.396
23.318,0.511
23.334,0.751
23.349,1.164
23.365,1.778
23.381,1.821
23.397,1.763
23.413,1.568
23.428,1.092
23.444,0.605
23.46,0.334
23.476,0.182
23.492,0.024
23.507,-0.191
23.523,-0.33
23.539,-0.394
23.555,-0.449
23.571,-0.496
23.586,-0.527
23.602,-0.524
23.618,-0.503
23.634,-0.463
23.65,-0.432
23.665,-0.353
23.681,-0.275
23.697,-0.183
23.713,-0.135
23.728,0.024
23.744,0.214
23.76,0.411
23.776,0.732
23.792,1.117
23.807,1.395
23.823,1.462
23.839,1.47
23.855,1.393
23.87,1.267
23.886,1.125
23.902,0.977
23.918,0.848
23.933,0.726
23.949,0.662
23.965,0.756
23.981,0.834
23.996,1.273
24.012,1.726
24.028,1.895
24.044,1.826
24.059,1.805
24.075,1.708
24.091,1.196
24.138,0.87
24.154,0.602
24.169,0.395
24.185,0.133
24.201,-0.007
24.217,-0.206
24.232,-0.325
24.248,-0.409
24.264,-0.451
24.279,-0.513
24.295,-0.541
24.311,-0.543
24.327,-0.503
24.342,-0.382
24.358,-0.25
24.374,-0.073
24.389,0.166
24.405,0.38
24.421,0.525
24.437,0.437
24.452,0.305
24.468,0.247
24.484,0.118
24.499,-0.168
24.515,-0.325
24.531,-0.395
24.546,-0.47
24.562,-0.514
24.578,-0.552
24.593,-0.587
24.609,-0.588
24.625,-0.573
24.64,-0.534
24.656,-0.487
24.672,-0.471
24.687,-0.448
24.703,-0.371
24.719,-0.288
24.734,-0.173
24.75,-0.049
24.766,0.077
24.781,0.208
24.797,0.42
24.813,0.596
24.828,0.714
24.844,0.615
24.86,0.389
24.875,0.289
24.891,0.126
24.907,-0.072
24.922,-0.259
24.938,-0.39
24.954,-0.468
24.969,-0.534
24.985,-0.576
25.0,-0.58
25.016,-0.57
25.032,-0.542
25.047,-0.455
25.063,-0.353
25.079,-0.207
25.094,-0.161
25.11,-0.186
25.126,-0.221
25.141,-0.279
25.157,-0.337
25.172,-0.467
25.188,-0.506
25.204,-0.586
25.219,-0.626
25.235,-0.671
25.25,-0.703
25.266,-0.712
25.282,-0.094
25.297,-0.009
25.313,0.176
25.328,0.324
25.344,0.391
25.422,0.691
25.438,0.671
25.453,0.587
25.469,0.474
25.484,0.346
25.5,0.259
25.515,0.079
25.531,-0.03
25.547,-0.169
25.562,-0.293
25.578,-0.367
25.593,-0.386
25.609,-0.393
25.624,-0.39
25.64,-0.39
25.656,-0.357
25.671,-0.278
25.687,-0.201
25.702,-0.152
25.718,-0.377
25.733,-0.666
25.749,-0.668
25.765,-0.228
25.78,-0.281
25.796,-0.367
25.811,-0.498
25.827,-0.608
25.842,-0.675
25.858,-0.708
25.873,-0.736
25.889,-0.761
25.904,-0.77
25.92,-0.772
25.936,-0.729
25.951,-0.697
25.967,-0.627
25.982,-0.528
25.998,-0.447
26.029,-0.419
26.044,-0.444
26.06,-0.489
26.075,-0.523
26.091,-0.59
26.106,-0.664
26.122,-0.729
26.137,-0.792
26.153,-0.835
26.168,-0.872
26.184,-0.899
26.199,-0.93
26.215,-0.945
26.23,-0.964
26.246,-0.975
26.261,-0.975
26.277,-0.967
26.292,-0.934
26.308,-0.861
26.323,-0.709
26.339,-0.457
26.354,-0.153
26.37,0.183
26.385,0.415
26.401,0.511
26.416,0.539
26.432,0.531
26.447,0.392
26.463,0.283
26.478,0.178
26.494,0.186
26.509,0.136
26.525,0.14
26.54,0.218
26.556,0.247
26.571,0.378
26.587,0.551
26.602,0.708
26.618,0.756
26.633,0.752
26.649,0.709
26.664,0.655
26.679,0.586
26.695,0.549
26.71,0.457
26.726,0.36
26.741,0.304
26.757,0.23
26.772,0.132
26.788,0.069
26.803,-0.015
26.818,-0.086
26.834,-0.141
26.849,-0.19
26.865,-0.201
26.88,-0.234
26.896,-0.292
26.911,-0.307
26.927,-0.292
26.942,-0.25
26.957,-0.218
26.973,-0.211
26.988,-0.178
27.004,-0.152
27.019,-0.128
27.035,-0.093
27.05,-0.041
27.065,-0.03
27.081,-0.067
27.096,-0.066
27.112,-0.116
27.127,-0.142
27.143,-0.238
27.158,-0.297
27.173,-0.354
27.189,-0.405
27.204,-0.437
27.22,-0.397
27.235,-0.361
27.25,-0.219
27.266,-0.061
27.281,0.186
27.297,0.535
27.312,0.857
27.327,1.054
27.343,0.912
27.358,0.777
27.374,0.687
27.389,0.547
27.404,0.46
27.42,0.329
27.435,0.163
27.451,0.046
27.466,-0.008
27.481,-0.133
27.497,-0.237
27.512,-0.31
27.527,-0.283
27.543,-0.361
27.558,-0.411
27.573,-0.423
27.589,-0.367
27.604,-0.231
27.62,-0.05
27.635,0.06
27.65,0.37
27.666,0.793
27.681,1.708
27.696,1.475
27.712,1.606
27.727,1.47
27.742,1.292
27.758,1.004
27.773,0.797
27.789,0.602
27.804,0.441
27.819,0.222
27.835,-0.028
27.85,-0.117
27.865,-0.202
27.881,-0.204
27.896,-0.229
27.911,-0.152
27.927,0.009
27.942,0.191
27.957,0.465
27.973,0.67
27.988,0.863
28.003,0.849
28.019,0.659
28.034,0.513
28.049,0.373
28.065,0.271
28.08,0.163
28.095,0.084
28.111,-0.08
28.126,0.032
28.141,0.032
28.157,-0.073
28.172,-0.076
28.187,-0.074
28.202,-0.314
28.218,-0.344
28.233,-0.304
28.248,-0.347
28.264,-0.375
28.279,-0.393
28.294,-0.438
28.31,-0.486
28.325,-0.532
28.34,-0.556
28.355,-0.564
28.371,-0.572
28.386,-0.599
28.401,-0.614
28.417,-0.598
28.432,-0.549
28.447,-0.421
28.462,-0.251
28.478,-0.169
28.493,-0.04
28.508,0.129
28.524,0.329
28.539,0.69
28.554,0.767
28.569,0.431
28.6,0.171
28.615,0.175
28.631,0.0
28.646,-0.181
28.661,-0.208
28.676,-0.403
28.692,-0.456
28.707,-0.405
28.722,-0.396
28.737,-0.35
28.753,-0.29
28.768,-0.168
28.783,-0.061
28.798,-0.065
28.814,0.011
28.829,0.079
28.844,0.122
28.859,0.037
28.875,-0.123
28.89,-0.263
28.905,-0.418
28.92,-0.487
28.936,-0.542
28.951,-0.576
28.966,-0.561
28.981,-0.506
28.997,-0.23
29.012,0.277
29.027,0.665
29.042,1.021
29.057,1.409
29.073,1.476
29.088,1.526
29.103,1.386
29.118,1.201
29.134,0.837
29.149,0.607
29.164,0.405
29.179,0.297
29.194,0.284
29.21,0.157
29.225,0.105
29.24,0.058
29.255,-0.171
29.27,-0.142
29.286,-0.184
29.301,-0.198
29.316,-0.169
29.331,-0.245
29.346,-0.37
29.362,-0.382
29.377,-0.408
29.392,-0.484
29.407,-0.504
29.422,-0.454
29.438,-0.397
29.453,-0.356
29.468,-0.348
29.483,-0.341
29.498,-0.329
29.514,-0.331
29.529,-0.344
29.544,-0.357
29.559,-0.354
29.574,-0.305
29.589,-0.225
29.605,-0.069
29.62,0.174
29.635,0.42
29.65,0.764
29.665,1.239
29.681,1.771
29.696,1.938
29.711,1.63
29.726,1.064
29.741,0.65
29.756,0.557
29.771,0.218
29.787,-0.035
29.802,-0.143
29.817,-0.197
29.832,-0.256
29.847,-0.26
29.862,-0.222
29.878,-0.182
29.893,-0.043
29.908,0.118
29.923,0.182
29.938,0.138
29.953,-0.039
29.968,-0.268
29.984,-0.456
29.999,-0.546
30.014,-0.605
30.029,-0.618
30.044,-0.604
30.059,-0.574
30.074,-0.569
30.089,-0.547
30.105,-0.318
30.12,-0.105
30.135,0.022
30.15,0.153
30.165,0.225
30.18,0.196
30.195,0.194
30.211,0.232
30.226,0.162
30.241,-0.073
30.256,-0.196
30.271,-0.385
30.286,-0.381
30.301,-0.441
30.316,-0.523
30.331,-0.581
30.346,-0.615
