Depth_m,nh4
49.929,0.066
49.942,0.271
49.955,0.373
49.969,0.374
49.982,0.171
50.116,0.186
50.129,0.491
50.142,0.797
50.156,1.102
50.169,1.304
50.183,1.303
50.196,1.303
50.209,1.101
50.223,0.899
50.236,0.698
50.249,0.396
50.263,0.197
50.756,0.451
50.769,0.453
50.782,0.351
50.796,0.248
50.809,0.043
50.942,0.146
50.955,0.25
50.969,0.354
50.982,0.458
50.995,0.663
51.009,0.764
51.022,0.659
51.035,0.349
51.048,0.039
51.261,0.113
51.274,0.216
51.287,0.421
51.301,0.422
51.314,0.217
52.28,0.192
52.293,0.601
52.306,1.213
52.319,1.827
52.332,2.542
52.346,3.053
52.359,3.461
52.372,3.563
52.385,3.46
52.398,3.051
52.411,2.336
52.425,1.417
52.438,0.6
52.517,0.404
52.53,0.814
52.543,1.019
52.557,1.121
52.57,0.815
52.583,0.405
52.846,0.127
52.859,0.128
52.872,0.027
53.096,0.034
53.109,0.036
53.293,0.136
53.306,0.544
53.319,0.747
53.332,0.847
53.345,0.948
53.358,0.843
53.371,0.636
53.384,0.224
53.555,0.105
53.568,0.31
53.581,0.516
53.594,0.825
53.607,0.931
53.62,1.037
53.633,1.041
53.646,0.74
53.659,0.437
53.672,0.033
53.777,0.044
53.79,0.247
53.803,0.449
53.816,0.548
53.829,0.443
53.843,0.338
53.856,0.029
53.986,0.013
53.999,0.217
54.012,0.422
54.026,0.524
54.039,0.627
54.052,0.626
54.065,0.525
54.078,0.424
54.091,0.321
54.104,0.218
54.117,0.216
54.13,0.11
54.143,0.004
54.274,0.095
54.287,0.404
54.3,0.816
54.313,1.227
54.326,1.637
54.339,1.944
54.352,2.148
54.365,2.351
54.378,2.453
54.391,2.451
54.404,2.45
54.417,2.142
54.43,1.629
54.443,1.014
54.456,0.297
54.599,0.099
54.612,0.303
54.625,0.404
54.638,0.504
54.651,0.603
54.664,0.703
54.677,0.701
54.69,0.7
54.703,0.802
54.716,0.7
54.73,0.701
54.743,0.703
54.756,0.705
54.769,0.707
54.782,0.811
54.795,0.915
54.808,1.121
54.821,1.429
54.834,1.634
54.847,1.838
54.86,1.939
54.873,1.937
54.886,1.832
54.899,1.727
54.912,1.519
54.925,1.413
54.938,1.307
54.951,1.201
54.964,1.198
54.977,1.094
54.989,1.093
55.002,0.99
55.015,0.785
55.028,0.683
55.041,0.581
55.054,0.478
55.067,0.273
55.08,0.272
55.093,0.269
55.106,0.266
55.119,0.262
55.132,0.155
55.444,0.21
55.457,0.311
55.47,0.412
55.483,0.513
55.495,0.613
55.508,0.815
55.521,0.915
55.534,0.912
55.547,0.807
55.56,0.498
55.573,0.292
56.142,0.087
56.155,0.189
56.168,0.291
56.181,0.29
56.194,0.39
56.207,0.592
56.22,0.793
56.232,0.789
56.245,0.582
56.258,0.273
56.271,0.067
56.413,0.066
56.426,0.167
56.439,0.064
56.645,0.36
56.658,0.669
56.671,0.875
56.684,0.875
56.696,0.772
56.709,0.771
56.722,0.768
56.735,0.765
56.748,0.66
56.761,0.554
56.774,0.447
56.786,0.341
56.799,0.234
56.812,0.127
57.056,0.283
57.069,0.59
57.082,1.0
57.095,1.206
57.108,1.206
57.121,0.9
57.134,0.49
57.146,0.08
57.365,0.244
57.377,0.553
57.39,0.964
57.403,1.375
57.416,1.684
