Depth_m,nssCa
52.649,0.162
52.846,0.164
52.964,0.05
52.977,0.122
52.991,0.231
53.004,0.184
53.017,0.208
53.03,0.298
53.043,0.308
53.056,0.39
53.201,0.059
53.214,0.257
53.227,0.149
53.24,0.451
53.253,0.583
53.266,0.709
53.279,0.867
53.293,1.141
53.306,0.972
53.319,0.819
53.332,0.292
53.345,0.35
53.397,0.0
53.411,0.03
53.424,0.169
53.437,0.186
53.45,0.184
53.463,0.436
53.476,0.48
53.489,0.636
53.502,1.209
53.515,1.21
53.528,0.885
53.542,0.436
53.555,0.185
53.581,0.304
53.594,0.168
53.607,0.033
53.62,0.053
53.725,0.21
53.738,0.734
53.751,0.728
53.764,0.781
53.777,0.684
53.79,0.151
53.803,0.052
53.856,0.069
53.973,0.144
53.986,1.105
53.999,1.407
54.012,0.609
54.195,0.456
54.208,0.471
54.221,0.486
54.26,0.17
54.274,0.411
54.287,0.667
54.3,0.21
54.313,0.258
54.521,0.258
54.534,0.07
54.547,0.064
54.612,0.109
54.625,0.219
54.638,0.011
54.664,0.062
54.677,0.419
54.69,0.551
54.703,0.7
54.716,1.064
54.73,1.58
54.743,1.305
54.756,1.148
54.769,0.636
54.782,0.584
54.795,0.507
54.808,0.549
54.821,0.386
54.834,0.178
55.067,0.26
55.093,0.208
55.119,0.128
55.132,0.695
55.158,1.106
55.184,1.581
55.197,1.607
55.223,1.656
55.236,1.026
55.431,0.181
55.444,0.466
55.457,0.322
55.47,0.126
55.508,0.057
55.521,0.497
55.534,0.851
55.547,0.809
55.56,0.213
55.612,1.219
55.625,1.3
55.638,0.52
55.806,0.199
55.858,0.354
55.871,0.569
55.884,0.622
55.897,0.471
55.922,0.31
56.129,0.448
56.142,1.586
56.155,1.349
56.168,0.856
56.181,0.497
56.284,0.054
56.297,0.036
56.31,0.099
56.323,0.157
56.336,0.162
56.349,0.039
56.361,0.152
56.374,0.228
56.387,0.246
56.4,0.227
56.413,0.147
56.426,0.166
56.439,0.114
56.452,0.195
56.465,0.364
56.477,0.146
56.49,0.369
56.503,0.11
56.516,0.008
56.529,0.08
56.542,0.119
56.555,0.092
56.671,0.443
56.684,0.89
56.696,0.975
56.709,0.928
56.722,1.175
56.735,1.549
56.748,0.728
57.082,0.252
57.095,0.309
57.108,0.119
57.121,0.025
57.134,0.053
57.172,0.012
57.249,0.183
57.262,0.845
57.275,1.045
57.288,0.97
57.3,1.161
57.313,0.969
57.326,0.785
57.339,0.398
57.352,0.039
57.723,0.029
57.787,0.015
57.903,0.044
58.03,0.005
58.043,0.252
58.056,0.144
58.069,0.115
58.082,0.246
58.094,0.256
58.26,0.189
58.273,0.308
58.286,0.452
58.299,0.793
58.311,1.182
58.324,0.767
58.337,0.105
58.452,0.239
58.464,0.653
58.477,0.393
58.49,0.156
58.503,0.274
58.515,0.626
58.528,0.686
58.541,0.869
58.554,0.609
58.566,0.099
58.579,0.166
58.592,0.385
58.617,0.223
58.63,0.307
58.643,0.321
58.656,0.334
58.668,0.351
58.681,0.158
58.694,0.023
58.707,0.106
58.719,0.152
58.732,0.24
58.745,0.456
58.758,0.597
58.77,0.857
58.783,1.207
58.796,1.26
58.809,1.213
58.821,0.986
58.834,0.74
58.847,0.433
58.859,0.363
58.872,0.312
58.885,0.313
58.91,0.065
58.923,0.274
58.936,0.502
58.949,0.658
58.961,0.578
58.974,0.534
58.987,0.651
58.999,0.81
59.012,1.026
59.025,1.128
59.038,1.173
59.05,1.294
59.063,0.821
59.076,0.811
59.088,0.684
59.101,1.191
59.114,1.622
59.126,1.831
59.139,1.785
59.152,1.465
59.165,1.046
59.177,1.093
59.19,0.33
59.266,0.433
59.279,0.096
59.304,0.153
59.317,0.182
59.342,0.112
59.355,0.955
59.368,1.31
59.381,0.695
59.393,0.386
59.596,0.103
59.609,0.147
59.672,0.002
59.799,0.081
59.824,0.1
59.837,0.071
59.85,0.543
59.862,0.604
59.875,0.755
59.888,0.723
59.9,0.835
59.913,0.416
60.04,0.054
60.052,0.172
60.065,0.103
60.077,0.029
60.292,0.033
60.305,0.013
60.318,0.183
60.33,0.031
60.343,0.153
60.356,0.341
60.368,0.207
60.381,0.668
60.393,0.747
60.406,0.533
