Depth_m,Br
49.594,0.377
49.607,0.211
49.621,0.263
49.634,0.04
49.661,0.313
49.688,0.22
49.701,0.166
49.728,0.061
49.755,0.114
49.781,0.084
49.795,0.526
49.808,1.232
49.822,1.536
49.835,1.185
49.848,0.387
49.875,0.244
49.888,0.546
50.009,0.49
50.022,1.043
50.036,1.573
50.049,2.404
50.062,2.779
50.076,2.828
50.089,2.01
50.102,1.736
50.116,1.292
50.129,0.834
50.142,0.49
50.156,0.042
50.169,0.202
50.183,0.063
50.196,0.101
50.343,0.142
50.356,0.707
50.369,0.775
50.383,0.293
50.396,0.233
50.409,0.182
50.676,0.69
50.689,1.1
50.703,1.249
50.716,1.073
50.729,1.859
50.743,3.309
50.756,2.953
50.769,2.149
50.782,0.729
50.796,0.907
50.809,1.089
50.822,0.954
50.836,0.62
50.849,0.245
50.902,0.096
50.929,0.136
50.942,0.392
50.955,0.459
50.969,0.292
50.982,0.23
50.995,0.207
51.141,0.754
51.155,1.204
51.168,1.153
51.181,0.925
51.195,1.016
51.208,0.619
51.221,0.385
51.234,0.454
51.248,0.05
51.261,0.11
51.274,0.207
51.287,0.047
51.301,0.028
51.314,0.037
51.327,0.051
51.34,0.44
51.354,0.131
51.367,0.494
51.38,0.918
51.393,1.318
51.407,1.161
51.42,0.711
51.433,0.745
51.447,0.466
51.46,0.355
51.473,1.182
51.486,1.496
51.5,1.557
51.513,0.989
51.526,0.598
51.539,0.077
51.698,0.123
51.711,0.242
51.725,0.465
51.738,0.404
51.936,0.149
51.95,0.181
51.976,0.541
51.989,0.666
52.002,0.49
52.016,0.7
52.029,0.694
52.042,0.408
52.055,0.791
52.068,0.5
52.082,0.203
52.214,0.368
52.227,1.048
52.24,1.287
52.253,1.227
52.266,1.412
52.28,2.066
52.293,2.847
52.306,2.449
52.319,1.88
52.332,0.829
52.346,0.779
52.359,0.505
52.372,0.454
52.385,0.526
52.398,0.648
52.411,0.404
52.425,0.109
52.451,0.086
52.53,0.402
52.543,0.674
52.557,0.682
52.57,0.755
52.583,0.215
52.807,0.261
52.82,1.125
52.833,2.095
52.846,1.987
52.859,1.828
52.872,0.993
52.885,0.997
52.899,0.605
52.912,0.232
52.977,0.656
52.991,0.981
53.004,0.844
53.017,0.455
53.03,0.682
53.043,0.491
53.056,1.058
53.069,1.36
53.083,0.95
53.096,0.417
53.214,0.033
53.227,0.087
53.24,0.17
53.253,0.239
53.266,0.454
53.279,0.93
53.293,1.286
53.306,1.297
53.319,0.971
53.332,0.754
53.371,0.333
53.384,0.062
53.489,0.019
53.502,0.326
53.515,0.387
53.528,0.291
53.542,0.336
53.555,0.2
53.947,0.269
53.96,0.695
53.973,2.729
53.986,4.024
53.999,3.567
54.012,1.934
54.026,0.63
54.039,0.429
54.078,0.274
54.091,0.185
54.104,0.203
54.117,0.278
54.13,0.187
54.287,0.219
54.3,0.221
54.313,0.229
54.508,0.585
54.521,0.57
54.534,0.374
54.547,0.214
54.56,0.408
54.573,0.584
54.586,0.645
54.599,0.654
54.612,0.692
54.625,0.682
54.638,0.501
54.651,0.097
54.664,0.148
54.677,0.522
54.69,0.662
54.703,0.971
54.716,1.458
54.73,2.656
54.743,2.504
54.756,1.995
54.769,1.491
54.782,0.678
54.795,1.023
54.808,1.562
54.821,2.007
54.834,1.887
54.847,1.534
54.86,1.305
54.873,0.757
54.886,0.544
54.899,0.563
54.912,0.417
54.925,0.336
54.938,0.368
